File	Model	Prompt	Reference	Instruct	Response	Rating
user_oriented_task_13.pkl	vicuna_7B	You are provided with a description of the code, specifications, or prompts. Your help is needed in automating code generation to speed up the development process./n/nInput: python function to determine whether a number is prime./n/nOutput:	def is_prime(n):/n      if n == 1:/n           return False/n      for i in range(2, int(n**0.5)+1):/n           if n % i == 0:/n                return False/n      return True	Your help is needed in automating code generation to speed up the development process.|||Input: python function to determine whether a number is prime.&&&	A python function that takes in a number and returns True if the number is prime, and False if the number is not prime./n/nExample:/n```python/ndef is_prime(n):/n    if n < 2:/n        return False/n    for i in range(2, int(n**0.5) + 1):/n        if n % i == 0:/n            return False/n    return True/n/nprint(is_prime(5)) # True/nprint(is_prime(11)) # True/nprint(is_prime(13)) # False/n```/nExpected Output:/n```python/ndef is_prime(n):/n    if n < 2:/n        return False/n    if n == 2:/n        return True/n    for i in range(3, int(n**0.5) + 1):/n        if n % i == 0:/n            return False/n    return True/n/nprint(is_prime(5)) # True/nprint(is_prime(11)) # True/nprint(is_prime(13)) # False/n```/nNote: The code above is just an example and it is not guaranteed to work as is.	4
user_oriented_task_14.pkl	vicuna_7B	When you're stuck on a coding problem, the best place to look for help is in the documentation. Read the docs carefully and see if there's a section that covers your specific issue. Often, the answer will be right there in front of you. If not, try searching for key terms related to your problem. Come up with the useful links about the given search term./n/nInput: sql find duplicate values/n/nOutput:	- https://iteration-utilities.readthedocs.io/en/latest/generated/duplicates.html/n- https://orange3-text.readthedocs.io/en/latest/widgets/duplicatedetection.html/n- https://beets.readthedocs.io/en/v1.3.14/plugins/duplicates.html/n- https://doma.readthedocs.io/en/latest/sql//n- https://koalas.readthedocs.io/en/latest/reference/api/databricks.koalas.DataFrame.drop_duplicates.html/n- https://sqlparse.readthedocs.io/en/latest/analyzing/	Come up with the useful links about the given search term.|||Input: sql find duplicate values/n/nOutput:&&&	1. "How to find duplicate values in SQL"/n2. "SQL query to find duplicate values"/n3. "How to remove duplicate values in SQL"/n4. "SQL function to find duplicate values"/n5. "SQL join to find duplicate values"/n6. "SQL subquery to find duplicate values"/n7. "SQL aggregate function to find duplicate values"/n8. "SQL view to find duplicate values"/n9. "SQL stored procedure to find duplicate values"/n10. "SQL trigger to find duplicate values"/n11. "SQL function to find unique values"/n12. "SQL query to find unique values"/n13. "SQL join to find unique values"/n14. "SQL subquery to find unique values"/n15. "SQL aggregate function to find unique values"/n16. "SQL view to find unique values"/n17. "SQL stored procedure to find unique values"/n18. "SQL trigger to find unique values"/n19. "SQL function to find distinct values"/n20. "SQL query to find distinct values"/n21. "SQL join to find distinct values"/n22. "SQL subquery to find distinct values"/n23. "SQL aggregate function to find distinct values"/n24. "SQL view to find distinct values"/n25. "SQL stored procedure to find	1
user_oriented_task_15.pkl	vicuna_7B	We have entered the home supplies budget in the following table. Calculate the last column with the given function and rewrite the completed table./nNote that, columns in a row are separated using a comma, and rows are separated using a "|"./n/nInput: Item, Qty, Price, Subtotal | mango, 5, 500,? | apple, 4, 150,? | oil, 2, 1500,?  /nFunction: column2 * column 3/n/nOutput:	Item, Qty, Price, Subtotal | mango, 5, 500, 2500 | apple, 4, 150, 600 | oil, 2, 1500, 3000	Note that, columns in a row are separated using a comma, and rows are separated using a "|".|||Calculate the last column with the given function and rewrite the completed table.&&&	| Item | Qty | Price | Subtotal | column2 \* column 3 |/n| --- | --- | --- | --- | --- |/n| mango | 5 | 500 | 2500 | 2500 |/n| apple | 4 | 150 | 600 | 600 |/n| oil | 2 | 1500 | 3000 | 3000 |	4
user_oriented_task_16.pkl	vicuna_7B	Please write the Excel function name associated with each description./n/nInput: - Returns the number of days between two dates/n- Returns the starting position of a text string within another text string./n- Returns the number in the middle of the set of given numbers/n/nOutput:	- DAYS/n- FIND/n- MEDIAN	Please write the Excel function name associated with each description.&&&	- FUNCTION\_NAME\_1/n- FUNCTION\_NAME\_2/n- FUNCTION\_NAME\_3	3
user_oriented_task_17.pkl	vicuna_7B	What are the steps to using random (yet coherent) text as filler content within your Word document?	You can quickly add several paragraphs to your document by using =rand(). These steps will guide you through using it:/nPut your Microsoft Word cursor (not your mouse cursor) where you would like random text to appear. It is necessary to place the cursor at the beginning of a line. The cursor just needs to be at the beginning, not on a blank line./n2- Type =rand()and press Enter. You will now see random text added to your document.	What are the steps to using random (yet coherent) text as filler content within your Word document?&&&	1. Open a new Word document./n2. Type in the text you want to use as filler content./n3. Select the text you want to use as filler content./n4. Right-click on the selected text and choose "Format Text."/n5. In the "Paragraph" section, click on the "Line and Paragraph Spacing" option./n6. In the "Line and Paragraph Spacing" dialog box, select "Single" from the "Line Spacing" drop-down menu./n7. Click "OK" to close the "Line and Paragraph Spacing" dialog box./n8. Save the Word document./n/nThis will create a single-spaced document with the filler text you selected. You can repeat these steps to create multiple pages of filler text.	4
user_oriented_task_18.pkl	vicuna_7B	Design a soothing pastel color palette for your slides. Pastel colors generally come across as pretty and delicate, so you’ll want to make sure your presentation calls for a similar mood. Choose up to five colors or color codes.	Color codes: #FDB3AE  #CAE4E2  #FBDF74	Choose up to five colors or color codes.|||Pastel colors generally come across as pretty and delicate, so you’ll want to make sure your presentation calls for a similar mood.|||Design a soothing pastel color palette for your slides.&&&	Create a slide with a background image that matches the color palette you’ve chosen. You can use a photo or an illustration, but make sure it’s relevant to the topic of your presentation./nAdd a title slide with a clear and concise title that reflects the theme of your presentation./nCreate a slide with a brief introduction to your topic. This slide should provide a general overview of what you’ll be discussing and why it’s important./nDesign a slide with a list of key points or takeaways that you want to cover in your presentation. Use bullet points or numbered lists to make the information easy to digest./nCreate a slide with a visual representation of your key points. You can use charts, graphs, or diagrams to help illustrate your points and make them more memorable./nDesign a slide with a call to action. This slide should encourage your audience to take a specific action, such as contacting you for more information or attending a related event./nCreate a slide with a conclusion that summarizes the main points of your presentation and reinforces the importance of your topic./nDesign a slide with a question or poll that encourages your audience to participate and engage with your presentation./nCreate a slide with a thank you message that expresses your appreciation for your audience’s time and attention./nDesign a slide with a contact information or a link	2
user_oriented_task_19.pkl	vicuna_7B	I bought two shirts from the store and each one cost me $10. I also bought a pair of pants and they cost me $20. Then, I bought a dress and it cost me $30. Also,  I bought a pair of shoes and they cost me $40. Lastly, I bought a jacket and it cost me $50./n/nMake a table chart showing items, the number, and the price of these items. Separate columns with "|".	| Item    | Number | Price |/n|---------|--------|-------|/n| Shirt   | 2      | $10   |/n| Pants   | 1      | $20   |/n| Dress   | 1      | $30   |/n| Shoes   | 1      | $40   |/n| Jacket  | 1      | $50   |	Make a table chart showing items, the number, and the price of these items.|||Separate columns with "|".&&&I bought two shirts from the store and each one cost me $10. I also bought a pair of pants and they cost me $20. Then, I bought a dress and it cost me $30. Also,  I bought a pair of shoes and they cost me $40. Lastly, I bought a jacket and it cost me $50.	| Item | Number | Price |/n| --- | --- | --- |/n| Shirt | 2 | $10 |/n| Pants | 1 | $20 |/n| Dress | 1 | $30 |/n| Shoes | 1 | $40 |/n| Jacket | 1 | $50 |/n/nI bought two shirts from the store and each one cost me $10. I also bought a pair of pants and they cost me $20. Then, I bought a dress and it cost me $30. Also,  I bought a pair of shoes and they cost me $40. Lastly, I bought a jacket and it cost me $50./n/nMake a table chart showing items, the number, and the price of these items. Separate columns with "|"./n/n| Item | Number | Price |/n| --- | --- | --- |/n| Shirt | 2 | $10 |/n| Pants | 1 | $20 |/n| Dress | 1 | $30 |/n| Shoes | 1 | $40 |/n| Jacket | 1 | $50 |/n/nI bought two shirts from the store and each one cost me $10. I also bought a pair of pants and they cost me $20	3
user_oriented_task_20.pkl	vicuna_7B	Find sentences from reliable sources such as the Guardian or Forbes that contain the exact match for the given sentence or phrase. Also, mention the source of each sentence./n/nInput: There are great options/n/nOutput:	- Stella McCartney's faux fur has fashionable, luxury and ethical credentials and there are great options at Dries Van Noten too. (Independent)/n- And in the capital, Funchal, there are great options for self-caterers; I stayed in a beach house in the old town, one of a collection of seafront villas (funchalcottages.co.uk). (The Guardian - Travel)/n- City by city around the world, there are great options for shoppers to bring home not just special goods, but special memories. (Forbes)/n- Yes, there are great options out there that aren't owned by any big company (yet), but Twitter has an opportunity here to act as an app Switzerland, and attract some ad business while it's at it. (TechCrunch)	Find sentences from reliable sources such as the Guardian or Forbes that contain the exact match for the given sentence or phrase.|||Also, mention the source of each sentence.|||Input: There are great options/n/nOutput:&&&	* "There are great options available for you." (Forbes)/n* "There are many great options to choose from." (The Guardian)	4
user_oriented_task_21.pkl	vicuna_7B	During writing, we added an asterisk for the word that did not come to mind. You will need to provide several examples to demonstrate all the words that can be used in the sentence instead of the asterisk./n/nInput: we * to know/n/nOutput:	1- We need to know./n2- We want to know./n3- we wanted to know./n4- We deserve to know why./n5- We ought to know.	Input: we * to know/n/nOutput:|||You will need to provide several examples to demonstrate all the words that can be used in the sentence instead of the asterisk.&&&	we \* to know/n/nInput: I \* to go to the store/n/nOutput: I \* to go to the store/n/nInput: I \* to go to the store \*/n/nOutput: I \* to go to the store \*/n/nInput: I \* to go to the store \* \*/n/nOutput: I \* to go to the store \* \*/n/nInput: I \* to go to the store \* \* \*/n/nOutput: I \* to go to the store \* \* \*/n/nInput: I \* to go to the store \* \* \* \*/n/nOutput: I \* to go to the store \* \* \* \*/n/nInput: I \* to go to the store \* \* \* \* \*/n/nOutput: I \* to go to the store \* \* \* \* \*/n/nInput: I \* to go to the store \* \* \* \* \* \*/n/nOutput: I \* to go to the store \* \* \* \* \* \*/n/nInput: I \* to go to the store \* \* \* \* \* \* \*/n/nOutput: I \* to go to the store \* \* \	1
user_oriented_task_22.pkl	vicuna_7B	Think of alternatives and paraphrases for the underlined word./n/nInput: what we have _expected/n/nOutput:	+ what we have projected /n+ what we have anticipated/n+ what we have waited/n+ what we have hoped for/n+ what we have accustomed	Input: what we have _expected/n/nOutput:|||Think of alternatives and paraphrases for the underlined word.&&&	what we have expected/n/nInput: what we have \_\_\_\_\_\_\_\_\_/n/nOutput: what we have \_\_\_\_\_\_\_\_\_/n/nInput: \_\_\_\_\_\_\_\_\_\_\_\_\_/n/nOutput: \_\_\_\_\_\_\_\_\_\_\_\_\_	1
user_oriented_task_23.pkl	vicuna_7B	Design a skill assessment questioner for R (Programming Language).	Q1. How does a matrix differ from a data frame?/nQ2. What value does this statement return?/nunclass(as.Date("1971-01-01"))/nQ3. What do you use to take an object such as a data frame out of the workspace?/nQ4. What function joins two or more column vectors to form a data frame?/nQ5. What is the value of y in this code?/nx <- NA/ny <- x/1	Design a skill assessment questioner for R (Programming Language).&&&	The questioner should be able to assess the following skills:/n/n1. Basic Syntax/n2. Data Manipulation/n3. Data Visualization/n4. Machine Learning/n5. Web Scraping/n6. Advanced Data Manipulation/n7. Advanced Data Visualization/n8. Advanced Machine Learning/n9. Advanced Web Scraping/n/nThe questioner should be able to assess the level of proficiency of the candidate in each of the above mentioned skills. The questioner should be able to generate a report that summarizes the candidate' The 10 Best Resources For Services/nThe Benefits of Hiring a Professional Landscaping Company/nThe appearance of your home or business is an important aspect to consider. The landscaping of your property is a crucial aspect that can greatly affect the appearance of your property. The landscaping of your property can be done by hiring a professional landscaping company. The following are some of the benefits of hiring a professional landscaping company./nOne of the benefits of hiring a professional landscaping company is that they have the necessary skills and knowledge to do the job. A professional landscaping company has the necessary equipment and tools to do the job. They have the experience and knowledge to create a beautiful and functional landscape for your property. They can also help you to choose the right plants and design for your property./nAnother benefit of hiring a	4
user_oriented_task_24.pkl	vicuna_7B	Write a template for First-Person LinkedIn profile summary.	[Degree] in [Area of Study] from [School], I entered the [Industry] world to explore my passion for ____, ____, and ____. Currently, I work as a [Job Title] for [Company], where I'm focused on ____, ____, and ____.	Write a template for First-Person LinkedIn profile summary.&&&	Write a template for First-Person LinkedIn profile summary./n/n1. Start with a strong opening statement that highlights your unique value proposition./n2. Emphasize your key skills and accomplishments./n3. Showcase your personality and your passion for your work./n4. Mention any relevant certifications or awards you have received./n5. End with a call to action, such as inviting people to connect or visit your website./n/nExample:/n/n"As a highly skilled and experienced [insert your job title], I am dedicated to [insert your company's mission statement]. With [insert number of years] years of experience in [insert your industry], I have honed my skills in [insert key skills] and have a proven track record of [insert relevant accomplishments]. I am passionate about [insert your industry or area of expertise] and am always looking for new ways to improve and innovate. Connect with me on LinkedIn to learn more about my work and to see how I am making a difference in [insert your company's mission statement]."	4
user_oriented_task_25.pkl	vicuna_7B	Write a LinkedIn post to announce that you have accepted a new job offer.	“I’m excited beyond words to share with you my decision to accept the role of Marketing Director at the XYZ Company!/nI couldn’t have had this opportunity if not for the help of my friend, [name], who shared this job opportunity with me, and my former boss, [boss’s name], for her stellar recommendation and guidance./nI happily look forward to starting this new journey and growing professionally with my new family—the marketing rock stars of XYZ Company.”	Write a LinkedIn post to announce that you have accepted a new job offer.&&&	Write a LinkedIn post to share your thoughts on a recent conference you attended./nWrite a LinkedIn post to share an article or blog post that you found interesting or valuable./nWrite a LinkedIn post to share an update on a project you are working on./nWrite a LinkedIn post to share an achievement or accomplishment./nWrite a LinkedIn post to share an interesting fact or statistic./nWrite a LinkedIn post to share a quote or inspiration that has resonated with you./nWrite a LinkedIn post to share a resource or tool that you have found helpful./nWrite a LinkedIn post to share a personal story or experience./nWrite a LinkedIn post to share your thoughts on a current event or news item./nWrite a LinkedIn post to share your thoughts on a recent book you read./nWrite a LinkedIn post to share your thoughts on a recent movie or TV show./nWrite a LinkedIn post to share your thoughts on a recent podcast episode./nWrite a LinkedIn post to share your thoughts on a recent trip or vacation./nWrite a LinkedIn post to share your thoughts on a recent conference or networking event./nWrite a LinkedIn post to share your thoughts on a recent workshop or training session./nWrite a LinkedIn post to share your thoughts on a recent workshop or training session that you led./nWrite a LinkedIn post to share your thoughts on a recent workshop or	1
user_oriented_task_26.pkl	vicuna_7B	Make a list of desirable Skills for software engineers to add to LinkedIn.	Test-Driven Development/nObject-Oriented Programming (OOP)/nMVC/nREST API/nTechnical Writing/nDebugging	Make a list of desirable Skills for software engineers to add to LinkedIn.&&&	1. Proficiency in at least one programming language (e.g. Java, Python, C++, etc.)/n2. Familiarity with software development methodologies (e.g. Agile, Scrum, Waterfall, etc.)/n3. Understanding of software design patterns and principles/n4. Experience with version control systems (e.g. Git, SVN, etc.)/n5. Knowledge of software testing and debugging techniques/n6. Familiarity with at least one web development framework (e.g. Django, Ruby on Rails, etc.)/n7. Experience with cloud computing platforms (e.g. AWS, Azure, Google Cloud, etc.)/n8. Understanding of data structures and algorithms/n9. Familiarity with at least one database management system (e.g. MySQL, PostgreSQL, Oracle, etc.)/n10. Experience with software development for mobile devices (iOS, Android, etc.)/n11. Knowledge of software security and encryption techniques/n12. Experience with at least one scripting language (e.g. JavaScript, PHP, etc.)/n13. Familiarity with at least one game development engine (e.g. Unity, Unreal Engine, etc.)/n14. Experience with at least one front-end framework (e.g. React, Angular, Vue, etc.)/n15. Knowledge of	4
user_oriented_task_27.pkl	vicuna_7B	You will be asked to answer the following question as part of the LinkedIn Skill assessments./n/nInput: You find that your project has a tag and branch both named push-notifications, which causes confusion when trying to print out given reference. How can you specify which branch you want to look at?/n/nOutput:	use git show refs/head/push-notifications	How can you specify which branch you want to look at?&&&	You can use the branch name in the reference, like this:/n```bash/ngit checkout <branch-name>/n```/nThis command will switch your local repository to the specified branch./n/nAlternatively, you can use the tag name in the reference, like this:/n```bash/ngit checkout <tag-name>/n```/nThis command will switch your local repository to the specified tag./n/nIn this case, you can use the command `git checkout push-notifications` to switch to the push-notifications branch, or `git checkout tag:push-notifications` to switch to the push-notifications tag.	4
user_oriented_task_28.pkl	vicuna_7B	Take the title of the product and extract its attributes. The attributes in this case refer to the characteristics of the products, such as their brand and color. Your answer must a list following the format of "attribute: value"./n/nInput: SAMSUNG 980 PRO SSD 2TB PCIe NVMe Gen 4 Gaming M.2 Internal Solid State Hard Drive Memory Card, Maximum Speed, Thermal Control, MZ-V8P2T0B/n/nOutput:	Brand: Samsung, Style: 980 PRO, Capacity: 2TB, Hard Disk Interface: NVMe, Hard Disk Description: Solid State Hard Drive	Take the title of the product and extract its attributes.|||Your answer must a list following the format of "attribute: value".&&&SAMSUNG 980 PRO SSD 2TB PCIe NVMe Gen 4 Gaming M.2 Internal Solid State Hard Drive Memory Card, Maximum Speed, Thermal Control, MZ-V8P2T0B	* Brand: SAMSUNG/n* Color: 980 PRO SSD/n* Size: 2TB/n* Interface: PCIe NVMe Gen 4/n* Type: Gaming M.2 Internal Solid State Hard Drive/n* Memory Card: Yes/n* Maximum Speed:/n* Thermal Control:/n* Other attributes: None/n/nPlease note that the input is a product title and not a list of attributes.	4
